time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01,Hpred0,Etiqueta
0,0.00078175515,-0.08698917,0.0044591765,-1.4170392e-05,-0.00049810678,0.001062948,-0.0001866188119302,Ejercicio1
1,0.0033278196,-0.08705736,0.0037245786,-0.00028456524,-0.001169904,0.0008283563,-0.0001002666932885,Ejercicio1
2,0.0077256966,-0.087243164,0.0020812736,-0.0008783653,-0.0022383199,0.00024410097,9.865201742354162e-05,Ejercicio1
3,0.011975755,-0.08750093,0.00032752317,-0.0015465523,-0.003070026,-0.0006346584,0.0002822160987601,Ejercicio1
4,0.014708151,-0.087726776,-0.000732935,-0.0020692527,-0.00329277,-0.0015694717,0.0004025949699949,Ejercicio1
5,0.016010107,-0.08787965,-0.0011685773,-0.0025261316,-0.0030247142,-0.0024504225,0.0004464712872425,Ejercicio1
6,0.0163644399999999,-0.08796245,-0.0012929865,-0.003024705,-0.0024530045999999,-0.0032354283,0.0004663588461075,Ejercicio1
7,0.0162010299999999,-0.08799571,-0.0013634424999999,-0.003612107,-0.0017161448,-0.0038912225,0.0004663588461075,Ejercicio1
8,0.015771702,-0.08799346,-0.0015442606,-0.004275692,-0.0009361405,-0.0043714614,0.0004787389379517,Ejercicio1
9,0.015213281,-0.08795757,-0.0018320252,-0.0048855853,-0.0002383214,-0.0046551228,0.0004934923760431,Ejercicio1
10,0.014618546,-0.08788721,-0.002131876,-0.005298932,0.00032212555,-0.0047532953999999,0.0005469907004365,Ejercicio1
11,0.0140136795,-0.08778331,-0.0024259477,-0.0055245833,0.00077187735,-0.004679503,0.0005726187338799,Ejercicio1
12,0.013444153,-0.08766204,-0.0027332792,-0.005699307,0.0011084299,-0.0044731503,0.0005979612333173,Ejercicio1
13,0.0129661899999999,-0.08754001,-0.0030264354,-0.0058711314,0.0013128629,-0.0041883025,0.0006204139173511,Ejercicio1
14,0.012572562,-0.08741792,-0.003278119,-0.0060303793,0.0013904650999999,-0.0038495703,0.0006469108350099,Ejercicio1
15,0.0122297999999999,-0.08728582,-0.0034811707,-0.006198803,0.0013557328,-0.0034404764,0.0006594208066247,Ejercicio1
16,0.011917516,-0.08714581,-0.0036976967,-0.006351236,0.0012249885,-0.002943233,0.00067377679393,Ejercicio1
17,0.0115805589999999,-0.0870165,-0.004023452,-0.0064297104,0.0010278555,-0.002397338,0.0006992575229184,Ejercicio1
18,0.011110716,-0.08690934,-0.004419941,-0.0064503617,0.0007982921,-0.001892013,0.0007510929355656,Ejercicio1
19,0.010480991,-0.0868249359999999,-0.0047448244,-0.0064130645,0.0005661136,-0.001483189,0.0007590057577465,Ejercicio1
20,0.009708214,-0.08675517,-0.004862974,-0.0062932534,0.00034185582,-0.0011626352,0.0007759333118732,Ejercicio1
21,0.008882569,-0.0866945,-0.0048792124,-0.0061419425,0.0001462397,-0.0009094762,0.0007759333118732,Ejercicio1
22,0.008131214,-0.08664238,-0.004972043,-0.0060317607,1.9129806e-06,-0.0007092516,0.0007850611668164,Ejercicio1
23,0.0074709067,-0.08659755,-0.0051184444,-0.0059540043,-9.970163e-05,-0.0005454609,0.0008095727202127,Ejercicio1
24,0.0068988899999999,-0.08656051,-0.0052678185,-0.005895044,-0.00017099094,-0.0004118100699999,0.0008259485058341,Ejercicio1
25,0.0064009604,-0.086531044,-0.0054002285,-0.005858588,-0.00021803597,-0.00030593303,0.0008489660720708,Ejercicio1
26,0.0059440894,-0.08650682,-0.0055122565999999,-0.005850646,-0.0002458081,-0.000222014,0.0008489660720708,Ejercicio1
27,0.00549141,-0.086484604,-0.0056050024,-0.005874348,-0.0002599587999999,-0.00015243809,0.0008508756143145,Ejercicio1
28,0.005018335,-0.08646185,-0.0056798344,-0.005929469,-0.0002662507,-9.136597e-05,0.0008552361308248,Ejercicio1
29,0.0045212483,-0.086437675,-0.0057385855,-0.006010034,-0.00026973647,-3.636084e-05,0.0008556252936896,Ejercicio1
30,0.004012593,-0.08641261,-0.005785228,-0.006104952,-0.0002751477399999,1.26910405e-05,0.0008543312245789,Ejercicio1
31,0.0035034575,-0.08638722,-0.0058265543,-0.0062036576,-0.0002879295599999,5.63937e-05,0.0008517271592948,Ejercicio1
32,0.002993181,-0.086361336,-0.0058717537,-0.006299813,-0.0003122041999999,9.7636186e-05,0.0008496117999645,Ejercicio1
33,0.0024753354,-0.086334755,-0.005930044,-0.0063905864,-0.00034608307,0.0001415003699999,0.0008484489697186,Ejercicio1
34,0.0019452422,-0.086308,-0.006004879,-0.006475771,-0.00038233656,0.00019405569,0.0008636490273631,Ejercicio1
35,0.0013991228,-0.08628172,-0.0060913389999999,-0.00655891,-0.00041565603,0.0002610624,0.0008749055119961,Ejercicio1
36,0.0008310264,-0.08625613,-0.006182082,-0.0066468835,-0.00044537315,0.00034797585,0.0008924792463662,Ejercicio1
37,0.00022992972,-0.0862309649999999,-0.0062764425,-0.006744603,-0.00047356945,0.00046149087,0.0009033584205315,Ejercicio1
38,-0.00041792703,-0.08620656,-0.006384392,-0.006844158,-0.0005042,0.0006093612,0.0009038630693282,Ejercicio1
39,-0.0011176777,-0.08618465,-0.006511284,-0.006915498,-0.00054040354,0.0007958596999999,0.0009040173049723,Ejercicio1
40,-0.0018592188,-0.086167564,-0.006626219,-0.0069171614999999,-0.0005788478,0.0010176224,0.0009164136823824,Ejercicio1
41,-0.0026307037,-0.08615683,-0.0066781836,-0.006819904,-0.0006130418,0.0012695024,0.0009161540091903,Ejercicio1
42,-0.003427249,-0.08615327,-0.006653327,-0.006609258,-0.0006437576,0.0015489131,0.0009161540091903,Ejercicio1
43,-0.00422026,-0.086157455,-0.006565813,-0.006283672,-0.0006741317,0.0018378518,0.0009168388418088,Ejercicio1
44,-0.004951523,-0.086168884,-0.0064258879999999,-0.005865821,-0.00070176,0.0020987818,0.0009037163582526,Ejercicio1
45,-0.005583499,-0.08618543,-0.006245775,-0.005389697,-0.00072247815,0.0023012478,0.0008928371840873,Ejercicio1
46,-0.006123783,-0.08620445,-0.0060533314,-0.0048601665,-0.00073585,0.0024347515,0.0008641897078393,Ejercicio1
47,-0.0066119566,-0.08622399,-0.005889511,-0.0042345433,-0.00074444705,0.0024994402,0.000849069428705,Ejercicio1
48,-0.0070965176,-0.08624319,-0.0057829494,-0.0034818769,-0.00074934155,0.0024976587,0.000849069428705,Ejercicio1
49,-0.007610354,-0.0862624,-0.0057057533,-0.0026754699,-0.0007457128,0.002433398,0.0008478086498995,Ejercicio1
50,-0.008160762,-0.0862826,-0.0055941687,-0.0019419239,-0.00072682637,0.0023157382,0.0008444211784954,Ejercicio1
51,-0.008706747,-0.0863038399999999,-0.00542735,-0.0013399714,-0.0006953209999999,0.0021663005,0.0008423328217847,Ejercicio1
52,-0.009144868,-0.08632466,-0.0052265415,-0.0008754975,-0.0006648112,0.0020197892,0.0008122643298545,Ejercicio1
53,-0.009407795,-0.0863445,-0.0050088806,-0.00053807944,-0.00064630574,0.0019037822,0.0007777573790907,Ejercicio1
54,-0.009517419,-0.08636506,-0.0047792873,-0.0003022395,-0.00064203167,0.00182537,0.0007523171875026,Ejercicio1
55,-0.00952418,-0.08638876,-0.0045389957,-0.00014291646,-0.00065155965,0.001779742,0.000744220357394,Ejercicio1
56,-0.009471653,-0.08641681,-0.0042921104,-4.4478454e-05,-0.000673439,0.0017632612,0.0007441053298677,Ejercicio1
57,-0.009393216,-0.08644864,-0.004048029,5.447094e-06,-0.0007033005,0.0017784734,0.0006932657131206,Ejercicio1
58,-0.009312147,-0.08648307,-0.003815281,1.8158976e-05,-0.00073580146,0.001831937,0.0006844229823907,Ejercicio1
59,-0.0092432649999999,-0.08651969,-0.0035972815,-1.630116e-06,-0.0007672551,0.001932138,0.0006689443205541,Ejercicio1
60,-0.009199142,-0.08655913,-0.003397273,-6.216437e-05,-0.0007946099,0.0020908196,0.000654401955841,Ejercicio1
61,-0.009194423,-0.08660225,-0.0032258157999999,-0.00018479504,-0.0008133576,0.002322385,0.0006388167881158,Ejercicio1
62,-0.009230043,-0.08664842,-0.003090475,-0.0003752534,-0.0008197006999999,0.0026246853,0.0006388167881158,Ejercicio1
63,-0.009265153,-0.08669438,-0.002962615,-0.0005753126,-0.0008150924,0.0029462495,0.0006142810527986,Ejercicio1
64,-0.009264357,-0.086737976,-0.0028022952,-0.000703094,-0.00079859865,0.0032271936,0.0006035027602735,Ejercicio1
65,-0.009255219,-0.08678212,-0.0026157618,-0.0007247759,-0.00076025575,0.0034705105,0.0005664858693273,Ejercicio1
66,-0.009272135,-0.0868307,-0.002420526,-0.0006503887,-0.0006930791,0.0037046828,0.0005664858693273,Ejercicio1
