time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01,Hpred0
0,0.005230172,-0.08743321000000001,0.0040570073,0.0004445585,-7.977586999999999e-06,-0.00043592120000000004,-0.00012843724855078465
1,0.0061387533999999995,-0.087493454,0.0039507442,0.0003024191,-9.699305e-06,-0.00041594893,-0.00010331607226743058
2,0.0074379683,-0.08757076000000001,0.0037845209,0.00012267858,-1.68184e-05,-0.00037182754000000004,-9.954739182836697e-05
3,0.008695583,-0.08763041,0.003573183,-2.5893823999999998e-05,-2.3649808e-05,-0.00029942556999999997,-7.55815440642796e-05
4,0.009634309,-0.08766132,0.0033396761000000002,-0.00010515435,-2.4630602000000003e-05,-0.00021869773000000002,-3.207354632953581e-05
5,0.010238098000000001,-0.08767344,0.0031295172999999997,-0.00012770043,-2.2586938000000003e-05,-0.0001577032,-2.817125822073539e-05
6,0.010603360000000001,-0.08767804,0.002968504,-0.00012026979,-2.1250132000000003e-05,-0.00012153975,-1.0915278254777871e-05
7,0.010824328,-0.08768136,0.0028571602999999998,-0.00010108875,-2.1205511e-05,-0.00010018516,4.450547183363053e-05
8,0.010963658000000001,-0.08768591,0.0027879874999999998,-7.842927e-05,-2.15584e-05,-8.60878e-05,4.552498881426957e-05
9,0.011058074,-0.08769234000000001,0.0027530000000000002,-5.4814056e-05,-2.1313313e-05,-7.7446826e-05,4.65378990866963e-05
10,0.011128001,-0.08770045,0.002745191,-3.0384677e-05,-1.9893449000000002e-05,-7.489867e-05,4.65378990866963e-05
11,0.011184335000000002,-0.08770978,0.0027584789000000003,-4.4724504000000004e-06,-1.7258774e-05,-7.888747e-05,4.552498881426957e-05
12,0.011232803000000001,-0.087719795,0.0027872112000000004,2.3503019e-05,-1.3745201000000001e-05,-8.931104e-05,4.511736779444221e-05
13,0.011276978,-0.08773001999999999,0.0028257606000000003,5.325e-05,-9.734218e-06,-0.00010643584000000001,4.511736779444221e-05
14,0.011319616,-0.08774015,0.0028694549,8.4056035e-05,-5.456221e-06,-0.00013100941,4.4133503142162054e-05
15,0.011363051,-0.08775024000000001,0.0029157896,0.00011586915000000001,-9.260518e-07,-0.00016410847000000001,-9.680210743595306e-06
16,0.011409743000000002,-0.08776058,0.0029642587,0.00014955029,4.152532e-06,-0.00020768215000000002,-1.0402664307455978e-05
17,0.011462301999999999,-0.08777164999999999,0.003015423,0.00018632689,1.0382465e-05,-0.00026489564999999997,-1.0684187053358962e-05
18,0.011522572500000001,-0.08778389,0.0030702944,0.0002270502,1.8445328e-05,-0.00033978580000000006,-1.0925893059390083e-05
19,0.011590515999999999,-0.0877976,0.0031304097,0.00027186608,2.8751623e-05,-0.00043680793,-2.9309249829768543e-05
20,0.011663766,-0.08781303,0.0031980712,0.00032054183,4.1199785000000004e-05,-0.0005603421,-3.003236784008133e-05
21,0.011737747000000001,-0.087830315,0.0032761612,0.00037346688,5.5242892000000004e-05,-0.0007134681,-3.252908513227574e-05
22,0.011805928,-0.08784950000000001,0.003367241,0.00043300006000000004,7.053368999999999e-05,-0.0008961582,-3.217103363408309e-05
23,0.011860128,-0.08787051,0.0034725132,0.0005043684000000001,8.810334e-05,-0.0011040688,-5.8138414909024914e-05
