time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01,Hpred0
0,0.0032436714,-0.08729775,0.003696088,-0.00012812129,-0.00015794991999999998,0.00030372110000000005,-6.915999280586452e-05
1,0.0053912287,-0.08749320000000001,0.003864156,-0.00013611564,-0.00019324113000000002,-0.00020022929000000002,-0.0001017331927256237
2,0.008180301000000001,-0.08780709,0.003907987,-0.00016637161,-0.00037952754,-0.0008680534,-0.00010279843096401186
3,0.010234914,-0.08809013,0.003641604,-0.00020072392,-0.00067690915,-0.0013716674,-7.684883015655353e-05
4,0.011209236000000001,-0.08825776,0.0032372133999999998,-0.00018899208,-0.0009351699999999999,-0.0016169922,-3.0347559362958634e-05
5,0.0115377035,-0.08833998,0.0028748874999999998,-0.00015650782,-0.0010938569000000001,-0.0016928422,4.409279300620592e-05
6,0.011594599,-0.088378914,0.0025976176,-0.00013104326,-0.0011749438000000002,-0.001687907,5.4759719147995984e-05
7,0.011551551,-0.08839731,0.0023898988,-0.000117669605,-0.0012119993,-0.001649611,8.703338494076609e-05
8,0.011467115,-0.088404854,0.002229001,-0.000113882296,-0.0012255086,-0.001596992,9.449833714776155e-05
9,0.011356042,-0.088405464,0.0020964098,-0.00011696901,-0.0012251583,-0.0015352242,0.00011360753512481989
10,0.01121916,-0.08840087,0.001977858,-0.00012586339999999998,-0.0012149044,-0.0014638338,0.00012893074460891256
11,0.011055187000000001,-0.08839206000000001,0.0018615592000000001,-0.00014178636999999999,-0.0011958753,-0.0013806133,0.00013289286892309693
12,0.010865583000000002,-0.08837968,0.0017371262000000001,-0.0001684717,-0.0011675757,-0.001283061,0.00013248019009567234
13,0.010656631000000001,-0.08836385000000001,0.0015965069999999998,-0.0002114475,-0.0011281817999999999,-0.0011692501,0.0001920117393177364
14,0.010439811,-0.08834424,0.0014337001,-0.00027726024,-0.0010743395,-0.001038952,0.00020584760618468496
15,0.010229407999999999,-0.08832023,0.0012380301,-0.00037592052999999996,-0.00099801165,-0.00089164215,0.00020743764833330497
16,0.010044529000000002,-0.08829153,0.0009847205,-0.00052618045,-0.00088188374,-0.00072575134,0.00023361460155639873
17,0.009900537999999999,-0.088258865,0.000665018,-0.0007470838,-0.00071144557,-0.000557592,0.0002866332538647877
18,0.009781413000000001,-0.088222786,0.00035188404,-0.0010286523,-0.0005095896,-0.000435885,0.00032313075510570716
19,0.009657752,-0.088183044,0.00011555401,-0.0013502033,-0.00031988838000000005,-0.00037705165,0.0003418511829148033
20,0.009502021,-0.08813964,-5.418881e-05,-0.0017045188,-0.00016578045,-0.00035379153000000005,0.00035778387167206165
21,0.009294585,-0.08808843000000001,-0.00020215137,-0.0020766554,-4.8626743000000004e-05,-0.00034079438,0.00036494455678308467
22,0.009026214,-0.08802428000000001,-0.00036057647999999996,-0.0024341464,3.901911e-05,-0.0003157128,0.0003718710548654549
23,0.008712188,-0.08794632000000001,-0.0005404801999999999,-0.0027356408,0.00010531574,-0.00025377345000000004,0.0004059596212602116
24,0.008399654,-0.08786060000000001,-0.00073435503,-0.0029525635000000002,0.00014956620000000002,-0.00014697903,0.0004303704220694778
25,0.008126584,-0.087777596,-0.0009279936,-0.0030834100000000004,0.00016668446,-2.0677859000000002e-05,0.00045528220706363186
26,0.007903023,-0.08770388,-0.0011112305000000001,-0.0031357975,0.00015756047000000002,9.1944344e-05,0.0004611355783918223
27,0.0077197976,-0.087637794,-0.001275807,-0.0031155230000000003,0.00012851462,0.000189935,0.0004992968269024577
28,0.0075695777,-0.08757743000000001,-0.0014187523,-0.0030377831,8.698838e-05,0.00028062105,0.0005088596935887628
29,0.0074480634,-0.08752291,-0.0015424072,-0.0029231281,3.9878633e-05,0.00036488378,0.000521433782811342
30,0.007344322,-0.087474075,-0.0016527616000000002,-0.0027896316,-6.5734712e-06,0.0004422257,0.0005392356216377275
31,0.0072420340000000005,-0.08742977,-0.0017575308,-0.0026497126,-4.7523573e-05,0.00051364475,0.0005392356216377275
32,0.0071267543000000004,-0.087388336,-0.0018634869,-0.0025106554000000002,-8.003761e-05,0.0005800449,0.0005632966071519401
33,0.006991148500000001,-0.08734807000000001,-0.0019744159,-0.0023767307,-0.00010282892000000001,0.00063996816,0.0005632966071519401
34,0.0068368483,-0.08730757,-0.0020895128000000002,-0.0022509832,-0.00011579235,0.000688717,0.0005719134783712246
35,0.0066722665,-0.087265724,-0.0022034292,-0.0021360195,-0.00011957544000000001,0.0007189882,0.0005913428790515593
36,0.006506579,-0.08722123999999999,-0.0023097348,-0.0020339894,-0.00011497719000000001,0.00072236013,0.0006201085696295907
37,0.006344541,-0.087172264,-0.0024052891999999998,-0.0019465344000000001,-0.000102422915,0.000690703,0.0006201085696295907
38,0.0061848283,-0.08711664000000001,-0.0024916892,-0.0018755816999999999,-8.195557000000001e-05,0.0006175701,0.0006291082497851678
39,0.0060201764000000005,-0.08705268,-0.0025732249999999997,-0.0018247198,-5.375555e-05,0.0005005754,0.0006295099694845845
40,0.0058390694,-0.08698021,-0.0026532679,-0.0017993348000000001,-1.8782914e-05,0.00034426335000000005,0.0006295099694845845
41,0.00563018,-0.08690099999999999,-0.0027320776,-0.0018037996999999998,2.1179508e-05,0.00016032672000000002,0.0006349121594984786
42,0.0053871202000000005,-0.086817986,-0.0028082647000000002,-0.0018367511000000002,6.439096499999999e-05,-3.6673304e-05,0.000644307976175308
43,0.0051089560000000004,-0.08673389000000001,-0.0028829432000000003,-0.0018885700000000002,0.00011003543,-0.0002342428,0.000662592042674052
44,0.0047959304,-0.08664996999999999,-0.002963233,-0.0019432486,0.00015811056,-0.000423667,0.0006690805753599941
45,0.004444285,-0.08656509400000001,-0.0030632849,-0.001982068,0.00020831293000000002,-0.0006003594,0.0007038852741339439
46,0.004046531,-0.086476364,-0.0032007322,-0.001986429,0.00025827515,-0.00076353735,0.0007038852741339439
47,0.003605014,-0.086383156,-0.0033833642,-0.0019426377,0.00030226442,-0.00091194946,0.0007112890098779617
48,0.0031574569,-0.08629179399999999,-0.0035912938,-0.0018518622,0.0003334125,-0.0010385127000000001,0.0007284644366032293
49,0.0027740128,-0.08621325,-0.0037826424,-0.0017301153,0.00034879192999999996,-0.0011313384,0.0007852548497659681
50,0.0024929824,-0.08615317500000001,-0.0039296703,-0.0015912793,0.00034892362,-0.0011800722,0.0007852548497659681
51,0.0022921982,-0.08610807,-0.0040371404,-0.0014402283,0.0003345861,-0.0011845631999999999,0.0007865221065760709
52,0.002138302,-0.08607185,-0.004121721,-0.0012836049000000001,0.00030609593,-0.0011519471,0.0007873051880717433
53,0.0020229826,-0.086041046,-0.0041884995,-0.0011408333,0.00026157895,-0.0010873331,0.0007873051880717433
54,0.0019555337,-0.086014275,-0.00423063,-0.0010376019999999999,0.00019422644,-0.0009929108,0.0007873051880717433
55,0.0019405845,-0.08599203,-0.004242386,-0.0009958766000000001,9.48822e-05,-0.0008764829,0.0007873051880717433
56,0.0019533716,-0.08597768000000001,-0.004230989,-0.0010298303,-4.0453709999999996e-05,-0.0007517074,0.000787997618973914
57,0.0019255861000000002,-0.08597416,-0.004221115,-0.0011469533000000001,-0.00021343191,-0.0006163942,0.000787997618973914
58,0.0017894717,-0.08598145,-0.004256789699999999,-0.0013546802,-0.00042573518,-0.00045833546,0.000787997618973914
59,0.0015593162000000001,-0.08600038000000002,-0.004396720000000001,-0.0016513379,-0.00066159916,-0.00029506946,0.0008235768308136755
60,0.0013229454,-0.08603364999999999,-0.004639039,-0.0020179057,-0.0008777731,-0.00016942513,0.0008387646044620853
61,0.0011300353999999999,-0.08607648000000001,-0.004892965,-0.0024302287,-0.001032877,-9.735756e-05,0.0008666651050743844
62,0.00094435185,-0.08611551,-0.0051242603999999995,-0.0028682153,-0.0011275874,-5.571639e-05,0.0008680660548257011
63,0.0007164325000000001,-0.08614469,-0.0053662047,-0.003335044,-0.0011883003,-1.9292826e-05,0.0009091208465252917
64,0.00041793206,-0.08616541,-0.005656959,-0.0038544214000000004,-0.0012377368,2.4977988e-05,0.0009318581986395943
65,4.775087e-05,-0.08617723,-0.0059644265,-0.0044058050000000005,-0.0012793038000000001,7.319016e-05,0.000980900603489786
