time,pxr_01,pyr_01,pzr_01,vel1_01,vel2_01,vel3_01,Hpred0,Etiqueta
0,0.0010317439,-0.0879178,0.0058196363,-8.144892e-06,3.707925e-05,-0.00026142552,-0.0003623462367934,Ejercicio1
1,0.0032268817,-0.08799357,0.006820005,0.00026399422,-0.00012819812,-0.0010944606,-0.0004860058055326,Ejercicio1
2,0.00665433,-0.0881020999999999,0.008132966,0.0005280599,-0.0003915826,-0.0024786808,-0.0006924611612417,Ejercicio1
3,0.009758967,-0.08819857,0.009020541,0.0006082073,-0.0005757129,-0.0037315805,-0.0008074155776437,Ejercicio1
4,0.011657582,-0.088263145,0.009321,0.0005278382,-0.00059843796,-0.0044273357,-0.0008513144147282,Ejercicio1
5,0.012581816,-0.0883062,0.009281289,0.000378096,-0.00051349926,-0.0046971455,-0.0008436056755484,Ejercicio1
6,0.012960901,-0.088338905,0.00911138,0.00022006413,-0.00038565907,-0.004750013,-0.0008159530485232,Ejercicio1
7,0.013070587,-0.088366005,0.008912852,7.923662e-05,-0.00026262617,-0.0047167354,-0.0007727210911173,Ejercicio1
8,0.013059872,-0.08838916,0.0087315855,-3.8157225e-05,-0.00016965534,-0.0046672125,-0.000764576353373,Ejercicio1
9,0.013012372,-0.08840908,0.008589717,-0.00013434927,-0.00010431517,-0.0046266736999999,-0.000735710199251,Ejercicio1
10,0.012961563,-0.08842632,0.008487918,-0.00021221995,-5.685035e-05,-0.004598071,-0.0007332262680509,Ejercicio1
11,0.0129159565,-0.08844136,0.00841782,-0.00027332696,-2.0656226e-05,-0.0045795226,-0.0007216940777942,Ejercicio1
12,0.0128765889999999,-0.08845454,0.008369616,-0.00031967375,7.858174000000001e-06,-0.004569075,-0.0007217090356757,Ejercicio1
13,0.0128418255,-0.0884659,0.0083334055,-0.0003551073,3.0671878e-05,-0.0045640989999999,-0.0007227448848917,Ejercicio1
14,0.0128085989999999,-0.088475266,0.0082992325,-0.0003850369,4.8901934e-05,-0.0045606755999999,-0.0007078058698578,Ejercicio1
15,0.012773364,-0.08848232,0.008256994,-0.0004153218,6.317369000000001e-05,-0.004553905,-0.0007099125448011,Ejercicio1
16,0.012732627,-0.08848678,0.008196171,-0.00045145684,7.386645e-05,-0.004538417,-0.0007105783991081,Ejercicio1
17,0.012681434,-0.0884884,0.0081047569999999,-0.0004984446,8.129715e-05,-0.0045077586,-0.0006981280674752,Ejercicio1
18,0.012610098,-0.08848679,0.0079679556,-0.0005608871,8.576246999999999e-05,-0.004452089,-0.0006762775742564,Ejercicio1
19,0.01251037,-0.08848124,0.007774116,-0.0006429717999999,8.5903265e-05,-0.00435962,-0.0006250017259423,Ejercicio1
20,0.012393491,-0.088471115,0.00753126,-0.0007448241,7.678779e-05,-0.004231366,-0.0006105356120628,Ejercicio1
21,0.012280416,-0.08845769,0.0072570634,-0.0008622018,5.702736e-05,-0.0040896163,-0.0005509286535857,Ejercicio1
22,0.012171101,-0.0884431,0.0069545717,-0.0009944004,2.8408172e-05,-0.0039496794,-0.0005070579239527,Ejercicio1
23,0.0120503149999999,-0.08842927,0.006611702,-0.0011468848,-9.254615e-06,-0.0038034138999999,-0.0004615198239299,Ejercicio1
24,0.011908824,-0.08841955,0.0062066956,-0.0013334708,-5.925189e-05,-0.0036203083999999,-0.0004126496606773,Ejercicio1
25,0.011736217,-0.0884175599999999,0.0057175874999999,-0.0015691919999999,-0.00012656824,-0.0033714375,-0.0003533209784374,Ejercicio1
26,0.011502478,-0.08841947,0.0051893744,-0.0018099282,-0.00020744874,-0.00311259,-0.0002859747539798,Ejercicio1
